country,country_code,area_type,area,representative_city,latitude,longitude,date,temp_min,temp_max,precipitation_mm,precipitation_probability,weather_code,weather
Belgium,BE,Province,Antwerp Province,Antwerp,51.22047,4.40026,2026-08-20,15.8,21.0,1.5,100,53,Moderate drizzle
Belgium,BE,Province,Antwerp Province,Antwerp,51.22047,4.40026,2026-08-21,14.8,20.0,10.4,100,63,Moderate rain
Belgium,BE,Province,Antwerp Province,Antwerp,51.22047,4.40026,2026-08-22,14.4,19.8,5.7,59,63,Moderate rain
Belgium,BE,Province,Antwerp Province,Antwerp,51.22047,4.40026,2026-08-23,12.3,19.8,0.8,12,51,Light drizzle
Belgium,BE,Province,Antwerp Province,Antwerp,51.22047,4.40026,2026-08-24,12.1,21.1,0.0,16,2,Partly cloudy
Belgium,BE,Province,Antwerp Province,Antwerp,51.22047,4.40026,2026-08-25,14.3,26.6,5.1,43,95,Thunderstorm
Belgium,BE,Province,Antwerp Province,Antwerp,51.22047,4.40026,2026-08-26,17.6,24.9,0.0,27,3,Overcast
Belgium,BE,Region,Brussels-Capital Region,Brussels,50.85045,4.34878,2026-08-20,15.5,21.7,0.2,100,51,Light drizzle
Belgium,BE,Region,Brussels-Capital Region,Brussels,50.85045,4.34878,2026-08-21,14.9,21.2,0.2,100,51,Light drizzle
Belgium,BE,Region,Brussels-Capital Region,Brussels,50.85045,4.34878,2026-08-22,13.3,20.1,0.5,65,51,Light drizzle
Belgium,BE,Region,Brussels-Capital Region,Brussels,50.85045,4.34878,2026-08-23,10.7,19.2,0.0,8,3,Overcast
Belgium,BE,Region,Brussels-Capital Region,Brussels,50.85045,4.34878,2026-08-24,11.2,21.3,0.0,18,3,Overcast
Belgium,BE,Region,Brussels-Capital Region,Brussels,50.85045,4.34878,2026-08-25,13.8,27.6,10.2,42,95,Thunderstorm
Belgium,BE,Region,Brussels-Capital Region,Brussels,50.85045,4.34878,2026-08-26,17.2,25.4,0.0,22,2,Partly cloudy
Belgium,BE,Province,East Flanders Province,Ghent,51.05,3.71667,2026-08-20,15.3,20.9,5.3,100,63,Moderate rain
Belgium,BE,Province,East Flanders Province,Ghent,51.05,3.71667,2026-08-21,14.6,18.2,5.8,100,63,Moderate rain
Belgium,BE,Province,East Flanders Province,Ghent,51.05,3.71667,2026-08-22,12.7,19.1,5.2,60,61,Light rain
Belgium,BE,Province,East Flanders Province,Ghent,51.05,3.71667,2026-08-23,11.4,19.2,0.8,17,51,Light drizzle
Belgium,BE,Province,East Flanders Province,Ghent,51.05,3.71667,2026-08-24,11.5,21.0,0.0,12,3,Overcast
Belgium,BE,Province,East Flanders Province,Ghent,51.05,3.71667,2026-08-25,14.0,26.3,8.4,47,96,Thunderstorm with light hail
