dt,dt_iso,timezone,city_name,lat,lon,temp,visibility,dew_point,feels_like,temp_min,temp_max,pressure,sea_level,grnd_level,humidity,wind_speed,wind_deg,wind_gust,rain_1h,rain_3h,snow_1h,snow_3h,clouds_all,weather_id,weather_main,weather_description,weather_icon
1672531200,2023-01-01 00:00:00 +0000 UTC,3600,Brussels,50.847703,4.3572,15.42,10000,6.17,14.43,14.4,16.4,1010,,,54,11,220,0,,,,,75,803,Clouds,broken clouds,04n
1672534800,2023-01-01 01:00:00 +0000 UTC,3600,Brussels,50.847703,4.3572,15.03,10000,6.07,14.02,14.17,15.84,1010,,,55,9.77,220,,,,,,100,804,Clouds,overcast clouds,04n
1672538400,2023-01-01 02:00:00 +0000 UTC,3600,Brussels,50.847703,4.3572,14.83,10000,6.65,13.88,14.19,15.66,1010,,,58,10,220,17,,,,,100,500,Rain,light rain,10n
1672542000,2023-01-01 03:00:00 +0000 UTC,3600,Brussels,50.847703,4.3572,14.35,10000,6.94,13.43,13.62,15.36,1011,,,61,9.26,210,14.4,,,,,100,804,Clouds,overcast clouds,04n
1672545600,2023-01-01 04:00:00 +0000 UTC,3600,Brussels,50.847703,4.3572,13.9,10000,7.66,13.07,12.89,14.75,1011,,,66,10,220,0,,,,,100,804,Clouds,overcast clouds,04n
1672549200,2023-01-01 05:00:00 +0000 UTC,3600,Brussels,50.847703,4.3572,13.77,10000,7.76,12.95,13.06,14.36,1012,,,67,9,220,0,,,,,100,804,Clouds,overcast clouds,04n
1672552800,2023-01-01 06:00:00 +0000 UTC,3600,Brussels,50.847703,4.3572,13.69,10000,8.11,12.92,12.79,14.18,1013,,,69,8.23,220,,,,,,100,804,Clouds,overcast clouds,04n
1672556400,2023-01-01 07:00:00 +0000 UTC,3600,Brussels,50.847703,4.3572,13.15,10000,8.62,12.45,11.97,13.55,1013,,,74,9,220,0,0.21,,,,100,500,Rain,light rain,10n
1672560000,2023-01-01 08:00:00 +0000 UTC,3600,Brussels,50.847703,4.3572,12.94,10000,8.82,12.27,11.66,13.62,1014,,,76,9.26,220,,,,,,100,500,Rain,light rain,10d
1672563600,2023-01-01 09:00:00 +0000 UTC,3600,Brussels,50.847703,4.3572,12.81,10000,8.69,12.13,11.95,13.34,1015,,,76,8,220,0,,,,,75,803,Clouds,broken clouds,04d
1672567200,2023-01-01 10:00:00 +0000 UTC,3600,Brussels,50.847703,4.3572,13.12,10000,8.79,12.45,12.53,13.62,1016,,,75,8,230,0,,,,,40,802,Clouds,scattered clouds,03d
1672570800,2023-01-01 11:00:00 +0000 UTC,3600,Brussels,50.847703,4.3572,13.53,10000,8.99,12.87,12.95,14.18,1016,,,74,6.17,220,,,,,,40,802,Clouds,scattered clouds,03d
1672574400,2023-01-01 12:00:00 +0000 UTC,3600,Brussels,50.847703,4.3572,13.57,10000,8.83,12.89,12.95,14.17,1016,,,73,7,220,0,,,,,75,803,Clouds,broken clouds,04d
1672578000,2023-01-01 13:00:00 +0000 UTC,3600,Brussels,50.847703,4.3572,13.35,10000,8.82,12.67,12.79,14.17,1015,,,74,6.17,210,,,,,,75,803,Clouds,broken clouds,04d
1672581600,2023-01-01 14:00:00 +0000 UTC,3600,Brussels,50.847703,4.3572,13,10000,8.87,12.34,12.23,13.62,1015,,,76,6,210,0,0.11,,,,75,500,Rain,light rain,10d
1672585200,2023-01-01 15:00:00 +0000 UTC,3600,Brussels,50.847703,4.3572,12.78,10000,8.85,12.12,11.98,13.36,1015,,,77,6,200,13,0.68,,,,100,500,Rain,light rain,10d
1672588800,2023-01-01 16:00:00 +0000 UTC,3600,Brussels,50.847703,4.3572,11.92,10000,9.13,11.33,11.07,12.66,1015,,,83,5.14,190,,0.81,,,,100,500,Rain,light rain,10n
1672592400,2023-01-01 17:00:00 +0000 UTC,3600,Brussels,50.847703,4.3572,11.17,10000,9.26,10.64,10.34,11.96,1014,,,88,5,160,8,0.71,,,,100,500,Rain,light rain,10n
1672596000,2023-01-01 18:00:00 +0000 UTC,3600,Brussels,50.847703,4.3572,10.8,9000,9.55,10.34,10.32,11.42,1013,,,92,5,150,13,1.98,,,,100,501,Rain,moderate rain,10n
1672599600,2023-01-01 19:00:00 +0000 UTC,3600,Brussels,50.847703,4.3572,10.84,10000,9.43,10.36,10.32,11.12,1012,,,91,6,170,10,0.76,,,,100,500,Rain,light rain,10n
1672603200,2023-01-01 20:00:00 +0000 UTC,3600,Brussels,50.847703,4.3572,10.78,10000,9.37,10.29,10.27,11.42,1011,,,91,6,150,9,0.14,,,,100,500,Rain,light rain,10n
1672606800,2023-01-01 21:00:00 +0000 UTC,3600,Brussels,50.847703,4.3572,11.37,10000,9.96,10.94,10.32,12.23,1011,,,91,5.14,190,,0.1,,,,100,500,Rain,light rain,10n
1672610400,2023-01-01 22:00:00 +0000 UTC,3600,Brussels,50.847703,4.3572,11.51,10000,10.26,11.12,10.82,12.78,1011,,,92,5,180,9,0.34,,,,100,500,Rain,light rain,10n
1672614000,2023-01-01 23:00:00 +0000 UTC,3600,Brussels,50.847703,4.3572,12.65,10000,10.37,12.22,11.38,13.42,1011,,,86,7.2,210,,1.53,,,,100,501,Rain,moderate rain,10n
1672617600,2023-01-02 00:00:00 +0000 UTC,3600,Brussels,50.847703,4.3572,13.48,10000,10.47,13.02,11.96,14.34,1010,,,82,7,190,14,0.58,,,,100,500,Rain,light rain,10n
1672621200,2023-01-02 01:00:00 +0000 UTC,3600,Brussels,50.847703,4.3572,12.96,10000,10.85,12.58,12.23,13.55,1010,,,87,9,210,0,0.52,,,,75,500,Rain,light rain,10n
1672624800,2023-01-02 02:00:00 +0000 UTC,3600,Brussels,50.847703,4.3572,12.75,10000,10.64,12.35,11.95,13.34,1010,,,87,8,200,0,0.17,,,,100,500,Rain,light rain,10n
1672628400,2023-01-02 03:00:00 +0000 UTC,3600,Brussels,50.847703,4.3572,12.67,10000,10.56,12.26,11.68,13.34,1010,,,87,8,200,16,0.31,,,,100,500,Rain,light rain,10n
